iter	Passed	Remaining
0	120	120068
1	124	62291
2	128	42745
3	132	32879
4	137	27370
5	142	23573
6	145	20681
7	149	18562
8	154	17031
9	158	15699
10	162	14608
11	166	13735
12	171	12990
13	175	12325
14	178	11721
15	181	11170
16	184	10657
17	186	10149
18	187	9699
19	189	9294
20	192	8953
21	195	8704
22	197	8385
23	198	8087
24	200	7816
25	201	7560
26	203	7325
27	204	7109
28	206	6921
29	209	6774
30	211	6605
31	213	6444
32	214	6290
33	216	6146
34	217	6003
35	219	5868
36	220	5743
37	223	5659
38	225	5546
39	226	5440
40	228	5341
41	229	5241
42	231	5145
43	232	5053
44	234	4970
45	236	4896
46	238	4837
47	239	4758
48	241	4686
49	242	4615
50	244	4545
51	245	4478
52	247	4421
53	249	4367
54	251	4327
55	253	4268
56	254	4215
57	256	4160
58	257	4108
59	259	4061
60	260	4010
61	261	3961
62	263	3914
63	264	3871
64	266	3836
65	268	3795
66	269	3753
67	270	3712
68	272	3674
69	273	3635
70	275	3598
71	276	3562
72	277	3527
73	279	3494
74	281	3468
75	283	3452
76	285	3421
77	286	3391
78	288	3360
79	289	3330
80	290	3300
81	292	3272
82	293	3239
83	294	3214
84	297	3199
85	299	3184
86	301	3162
87	302	3139
88	304	3120
89	306	3099
90	307	3075
91	309	3053
92	311	3039
93	314	3033
94	316	3014
95	318	2996
96	319	2977
97	321	2957
98	322	2937
99	324	2917
100	326	2903
101	328	2895
102	330	2878
103	332	2861
104	333	2843
105	335	2826
106	336	2809
107	339	2801
108	344	2818
109	346	2804
110	348	2789
111	350	2777
112	351	2762
113	353	2751
114	357	2752
115	359	2741
116	361	2725
117	362	2711
118	364	2697
119	365	2683
120	367	2670
121	368	2654
122	370	2643
123	374	2648
124	376	2636
125	378	2623
126	379	2608
127	381	2597
128	383	2589
129	386	2589
130	390	2589
131	391	2576
132	393	2563
133	394	2550
134	396	2539
135	398	2532
136	400	2524
137	404	2527
138	406	2517
139	408	2507
140	409	2497
141	410	2482
142	412	2471
143	414	2461
144	415	2452
145	419	2454
146	422	2450
147	424	2442
148	426	2434
149	427	2424
150	429	2417
151	432	2414
152	435	2411
153	437	2404
154	439	2396
155	441	2388
156	442	2378
157	444	2368
158	450	2381
159	452	2373
160	453	2362
161	454	2353
162	456	2343
163	458	2335
164	459	2327
165	463	2327
166	466	2324
167	467	2317
168	469	2310
169	471	2303
170	473	2294
171	475	2287
172	479	2292
173	481	2285
174	483	2277
175	484	2268
176	486	2260
177	487	2253
178	489	2245
179	493	2246
180	495	2240
181	496	2232
182	498	2223
183	499	2214
184	500	2206
185	502	2198
186	504	2191
187	506	2188
188	510	2191
189	512	2184
190	514	2177
191	515	2170
192	517	2163
193	518	2154
194	520	2148
195	523	2147
196	525	2142
197	527	2135
198	529	2129
199	530	2123
200	532	2117
201	534	2110
202	535	2103
203	537	2099
204	539	2091
205	541	2088
206	544	2084
207	546	2079
208	548	2074
209	549	2067
210	553	2068
211	555	2064
212	558	2063
213	560	2057
214	561	2051
215	563	2044
216	565	2040
217	569	2041
218	570	2035
219	572	2030
220	574	2026
221	576	2021
222	578	2014
223	579	2009
224	583	2008
225	585	2003
226	587	1999
227	588	1993
228	590	1987
229	591	1981
230	593	1975
231	595	1972
232	600	1975
233	602	1971
234	604	1966
235	605	1960
236	606	1954
237	608	1948
238	611	1945
239	615	1950
240	618	1947
241	620	1944
242	622	1938
243	623	1933
244	625	1928
245	628	1926
246	632	1929
247	634	1924
248	636	1920
249	638	1915
250	640	1909
251	642	1907
252	645	1905
253	646	1900
254	648	1894
255	649	1889
256	651	1883
257	653	1878
258	654	1872
259	657	1870
260	659	1867
261	660	1861
262	662	1855
263	663	1850
264	665	1844
265	666	1839
266	668	1834
267	669	1829
268	673	1830
269	675	1825
270	676	1820
271	677	1814
272	679	1808
273	680	1803
274	682	1798
275	684	1794
276	686	1790
277	689	1789
278	690	1784
279	692	1779
280	693	1774
281	694	1769
282	696	1764
283	697	1758
284	699	1754
285	701	1751
286	703	1747
287	704	1742
288	706	1738
289	708	1733
290	709	1728
291	710	1723
292	712	1718
293	713	1713
294	714	1708
295	716	1704
296	718	1699
297	719	1695
298	720	1690
299	722	1685
300	723	1680
301	725	1676
302	726	1671
303	727	1666
304	729	1662
305	731	1658
306	734	1657
307	735	1653
308	737	1648
309	738	1644
310	740	1639
311	741	1635
312	743	1631
313	745	1627
314	747	1625
315	749	1621
316	754	1625
317	755	1621
318	757	1616
319	758	1612
320	760	1608
321	763	1606
322	764	1602
323	765	1597
324	767	1593
325	768	1589
326	770	1584
327	771	1580
328	772	1576
329	774	1571
330	776	1569
331	779	1568
332	781	1564
333	782	1560
334	784	1556
335	785	1552
336	786	1547
337	788	1543
338	789	1539
339	792	1538
340	794	1534
341	795	1531
342	797	1527
343	798	1523
344	800	1519
345	801	1515
346	803	1512
347	805	1508
348	807	1505
349	808	1501
350	810	1498
351	811	1494
352	813	1490
353	815	1487
354	816	1483
355	818	1479
356	819	1475
357	821	1473
358	824	1471
359	825	1467
360	827	1464
361	828	1460
362	829	1456
363	831	1452
364	832	1448
365	834	1445
366	836	1443
367	838	1440
368	840	1436
369	841	1432
370	842	1429
371	844	1425
372	845	1421
373	847	1418
374	849	1415
375	851	1412
376	852	1409
377	854	1405
378	859	1408
379	861	1406
380	863	1402
381	867	1403
382	869	1401
383	872	1399
384	874	1396
385	875	1393
386	877	1390
387	879	1387
388	881	1384
389	884	1382
390	886	1380
391	888	1377
392	889	1374
393	891	1371
394	893	1368
395	895	1365
396	897	1363
397	899	1360
398	901	1357
399	903	1354
400	904	1351
401	906	1348
402	908	1346
403	911	1344
404	915	1344
405	918	1343
406	920	1340
407	922	1337
408	923	1334
409	925	1331
410	927	1329
411	932	1330
412	933	1327
413	935	1324
414	937	1322
415	939	1318
416	941	1316
417	945	1316
418	947	1314
419	949	1311
420	951	1308
421	953	1305
422	955	1302
423	957	1300
424	961	1300
425	962	1297
426	964	1294
427	965	1290
428	967	1287
429	969	1284
430	970	1281
431	974	1281
432	976	1279
433	978	1276
434	980	1273
435	981	1269
436	983	1266
437	985	1264
438	989	1264
439	991	1261
440	993	1259
441	995	1256
442	996	1253
443	998	1250
444	1000	1248
445	1006	1250
446	1008	1248
447	1011	1245
448	1012	1243
449	1014	1239
450	1016	1237
451	1022	1240
452	1025	1238
453	1027	1236
454	1031	1235
455	1035	1235
456	1038	1233
457	1040	1231
458	1043	1229
459	1045	1227
460	1049	1226
461	1053	1226
462	1055	1223
463	1057	1221
464	1060	1220
465	1064	1219
466	1067	1218
467	1069	1215
468	1071	1212
469	1073	1210
470	1075	1207
471	1077	1205
472	1081	1205
473	1084	1202
474	1085	1200
475	1087	1197
476	1089	1194
477	1092	1192
478	1096	1192
479	1098	1189
480	1100	1187
481	1102	1184
482	1104	1181
483	1106	1179
484	1108	1177
485	1113	1177
486	1115	1174
487	1121	1176
488	1123	1174
489	1130	1176
490	1132	1174
491	1134	1171
492	1136	1169
493	1139	1167
494	1143	1166
495	1146	1165
496	1149	1163
497	1151	1160
498	1154	1158
499	1158	1158
500	1160	1155
501	1162	1153
502	1164	1151
503	1167	1149
504	1170	1147
505	1173	1145
506	1175	1143
507	1177	1140
508	1179	1137
509	1181	1135
510	1185	1134
511	1189	1133
512	1191	1131
513	1193	1128
514	1202	1132
515	1204	1129
516	1206	1126
517	1207	1123
518	1209	1120
519	1211	1117
520	1213	1115
521	1216	1113
522	1218	1111
523	1220	1108
524	1222	1105
525	1223	1102
526	1225	1099
527	1227	1097
528	1230	1095
529	1233	1093
530	1235	1091
531	1237	1088
532	1239	1085
533	1241	1083
534	1243	1081
535	1245	1078
536	1247	1075
537	1249	1072
538	1250	1069
539	1253	1067
540	1254	1064
541	1256	1061
542	1260	1060
543	1262	1057
544	1263	1055
545	1265	1052
546	1267	1049
547	1268	1046
548	1270	1043
549	1272	1040
550	1275	1039
551	1276	1036
552	1278	1033
553	1280	1030
554	1282	1027
555	1283	1025
556	1285	1022
557	1293	1024
558	1294	1021
559	1296	1018
560	1298	1015
561	1300	1013
562	1301	1010
563	1303	1007
564	1305	1005
565	1307	1002
566	1309	999
567	1310	996
568	1312	993
569	1313	991
570	1315	988
571	1319	987
572	1321	985
573	1323	982
574	1325	979
575	1327	977
576	1328	974
577	1330	971
578	1332	968
579	1335	967
580	1337	964
581	1339	961
582	1340	959
583	1342	956
584	1344	953
585	1345	950
586	1347	948
587	1350	946
588	1352	943
589	1353	940
590	1355	937
591	1356	935
592	1358	932
593	1359	929
594	1361	926
595	1364	925
596	1366	922
597	1368	920
598	1370	917
599	1372	914
600	1373	911
601	1375	909
602	1376	906
603	1380	904
604	1381	902
605	1383	899
606	1384	896
607	1386	893
608	1387	890
609	1389	888
610	1390	885
611	1393	883
612	1395	881
613	1397	878
614	1398	875
615	1400	873
616	1402	870
617	1403	867
618	1404	864
619	1416	867
620	1417	865
621	1419	862
622	1420	859
623	1422	857
624	1424	854
625	1426	852
626	1427	849
627	1429	846
628	1430	843
629	1432	841
630	1433	838
631	1434	835
632	1437	833
633	1439	830
634	1440	828
635	1442	825
636	1443	822
637	1445	820
638	1446	817
639	1448	814
640	1449	812
641	1452	809
642	1455	808
643	1457	805
644	1458	802
645	1460	800
646	1461	797
647	1462	794
648	1464	791
649	1465	789
650	1467	786
651	1470	784
652	1472	782
653	1474	779
654	1475	777
655	1477	774
656	1478	771
657	1480	769
658	1482	767
659	1484	764
660	1486	762
661	1488	759
662	1489	757
663	1491	754
664	1492	752
665	1494	749
666	1496	747
667	1499	745
668	1502	743
669	1504	741
670	1506	738
671	1507	735
672	1509	733
673	1511	731
674	1514	729
675	1517	727
676	1519	724
677	1521	722
678	1522	719
679	1524	717
680	1525	714
681	1529	713
682	1532	711
683	1534	708
684	1535	706
685	1537	703
686	1538	701
687	1540	698
688	1542	696
689	1546	694
690	1547	692
691	1549	689
692	1550	686
693	1552	684
694	1557	683
695	1562	682
696	1564	679
697	1566	677
698	1567	675
699	1569	672
700	1570	669
701	1573	667
702	1576	665
703	1577	663
704	1580	661
705	1582	658
706	1583	656
707	1585	653
708	1589	652
709	1593	650
710	1594	648
711	1596	645
712	1597	643
713	1599	640
714	1600	638
715	1603	635
716	1607	634
717	1609	632
718	1611	629
719	1613	627
720	1614	624
721	1617	622
722	1619	620
723	1622	618
724	1624	616
725	1626	613
726	1628	611
727	1629	608
728	1631	606
729	1633	604
730	1637	602
731	1639	600
732	1641	597
733	1643	595
734	1644	593
735	1646	590
736	1648	588
737	1652	586
738	1654	584
739	1655	581
740	1657	579
741	1659	577
742	1661	574
743	1663	572
744	1666	570
745	1669	568
746	1671	566
747	1673	563
748	1674	561
749	1676	558
750	1678	556
751	1681	554
752	1683	552
753	1684	549
754	1686	547
755	1688	544
756	1689	542
757	1691	540
758	1693	537
759	1697	535
760	1698	533
761	1700	531
762	1701	528
763	1703	526
764	1704	523
765	1706	521
766	1708	519
767	1712	517
768	1714	514
769	1715	512
770	1721	511
771	1723	508
772	1726	507
773	1729	505
774	1731	502
775	1733	500
776	1735	497
777	1736	495
778	1738	493
779	1743	491
780	1745	489
781	1747	487
782	1749	484
783	1750	482
784	1752	480
785	1755	478
786	1757	475
787	1759	473
788	1761	471
789	1762	468
790	1764	466
791	1766	463
792	1768	461
793	1773	460
794	1775	457
795	1777	455
796	1779	453
797	1781	450
798	1785	449
799	1789	447
800	1791	445
801	1793	442
802	1795	440
803	1796	438
804	1799	435
805	1803	433
806	1805	431
807	1806	429
808	1808	426
809	1810	424
810	1811	422
811	1814	420
812	1818	418
813	1820	415
814	1821	413
815	1823	411
816	1824	408
817	1825	406
818	1827	403
819	1830	401
820	1834	399
821	1836	397
822	1838	395
823	1839	392
824	1841	390
825	1846	388
826	1848	386
827	1849	384
828	1851	381
829	1852	379
830	1854	377
831	1855	374
832	1857	372
833	1859	370
834	1862	368
835	1864	365
836	1865	363
837	1867	361
838	1869	358
839	1870	356
840	1872	353
841	1873	351
842	1876	349
843	1878	347
844	1880	344
845	1881	342
846	1883	340
847	1884	337
848	1885	335
849	1887	333
850	1890	330
851	1892	328
852	1893	326
853	1895	323
854	1896	321
855	1898	319
856	1899	316
857	1900	314
858	1902	312
859	1903	309
860	1906	307
861	1908	305
862	1909	303
863	1911	300
864	1912	298
865	1913	296
866	1915	293
867	1916	291
868	1918	289
869	1920	286
870	1922	284
871	1923	282
872	1925	280
873	1927	277
874	1928	275
875	1929	273
876	1931	270
877	1932	268
878	1934	266
879	1936	264
880	1937	261
881	1939	259
882	1940	257
883	1941	254
884	1943	252
885	1944	250
886	1946	247
887	1947	245
888	1950	243
889	1951	241
890	1953	238
891	1954	236
892	1955	234
893	1957	232
894	1958	229
895	1960	227
896	1961	225
897	1963	222
898	1965	220
899	1966	218
900	1968	216
901	1969	214
902	1971	211
903	1972	209
904	1974	207
905	1976	205
906	1978	202
907	1980	200
908	1981	198
909	1983	196
910	1984	193
911	1986	191
912	1987	189
913	1989	187
914	1990	184
915	1992	182
916	1994	180
917	1995	178
918	1997	176
919	1998	173
920	2000	171
921	2001	169
922	2002	167
923	2004	164
924	2005	162
925	2007	160
926	2009	158
927	2011	156
928	2012	153
929	2013	151
930	2015	149
931	2016	147
932	2018	144
933	2019	142
934	2021	140
935	2022	138
936	2024	136
937	2026	133
938	2027	131
939	2029	129
940	2030	127
941	2031	125
942	2033	122
943	2034	120
944	2036	118
945	2037	116
946	2039	114
947	2041	111
948	2042	109
949	2044	107
950	2045	105
951	2046	103
952	2048	101
953	2049	98
954	2051	96
955	2053	94
956	2054	92
957	2056	90
958	2057	87
959	2059	85
960	2060	83
961	2061	81
962	2063	79
963	2064	77
964	2066	74
965	2068	72
966	2070	70
967	2071	68
968	2072	66
969	2074	64
970	2076	62
971	2077	59
972	2079	57
973	2080	55
974	2081	53
975	2084	51
976	2085	49
977	2087	46
978	2088	44
979	2089	42
980	2091	40
981	2092	38
982	2093	36
983	2095	34
984	2096	31
985	2098	29
986	2100	27
987	2101	25
988	2103	23
989	2104	21
990	2105	19
991	2107	16
992	2108	14
993	2109	12
994	2111	10
995	2112	8
996	2114	6
997	2115	4
998	2117	2
999	2118	0
