iter	Passed	Remaining
0	120	11903
1	121	5946
2	122	3957
3	123	2958
4	124	2360
5	125	1964
6	126	1681
7	127	1466
8	128	1298
9	129	1164
10	130	1057
11	132	968
12	133	891
13	134	825
14	136	773
15	138	724
16	139	683
17	141	642
18	142	606
19	143	573
20	145	545
21	146	518
22	147	492
23	147	468
24	148	446
25	149	426
26	151	408
27	152	392
28	153	375
29	154	360
30	155	347
31	157	333
32	158	322
33	160	310
34	160	298
35	161	287
36	162	276
37	163	266
38	164	257
39	166	249
40	167	241
41	169	234
42	170	226
43	171	218
44	172	210
45	173	203
46	174	196
47	174	189
48	175	182
49	176	176
50	177	170
51	179	165
52	181	160
53	182	155
54	183	150
55	185	145
56	186	140
57	187	135
58	188	130
59	189	126
60	189	121
61	190	116
62	191	112
63	193	109
64	195	105
65	197	101
66	198	97
67	199	93
68	200	89
69	200	86
70	201	82
71	202	78
72	203	75
73	204	71
74	205	68
75	206	65
76	207	62
77	209	59
78	210	56
79	212	53
80	213	50
81	214	47
82	215	44
83	216	41
84	217	38
85	218	35
86	219	32
87	219	29
88	220	27
89	222	24
90	223	22
91	225	19
92	226	17
93	227	14
94	228	12
95	229	9
96	229	7
97	230	4
98	231	2
99	232	0
